Month,Day,Fixture,Worker,Flow
August,Friday,Bidet,0,"(66.999, 8348.4]"
August,Friday,Bidet,1,"(8348.4, 13440.2]"
August,Friday,Kitchenfaucet,0,"(18289.4, 24180.2]"
August,Friday,Kitchenfaucet,1,"(53747.8, 68376.4]"
August,Friday,Shower,0,"(41667.2, 53747.8]"
August,Friday,Shower,1,"(68376.4, 93713.2]"
August,Friday,Washbasin,0,"(8348.4, 13440.2]"
August,Friday,Washbasin,1,"(18289.4, 24180.2]"
August,Monday,Bidet,0,"(66.999, 8348.4]"
August,Monday,Bidet,1,"(8348.4, 13440.2]"
August,Monday,Kitchenfaucet,0,"(41667.2, 53747.8]"
August,Monday,Kitchenfaucet,1,"(18289.4, 24180.2]"
August,Monday,Shower,0,"(31333.0, 41667.2]"
August,Monday,Shower,1,"(24180.2, 31333.0]"
August,Monday,Washbasin,0,"(24180.2, 31333.0]"
August,Monday,Washbasin,1,"(18289.4, 24180.2]"
August,Saturday,Bidet,0,"(66.999, 8348.4]"
August,Saturday,Bidet,1,"(13440.2, 18289.4]"
August,Saturday,Kitchenfaucet,0,"(18289.4, 24180.2]"
August,Saturday,Kitchenfaucet,1,"(53747.8, 68376.4]"
August,Saturday,Shower,0,"(8348.4, 13440.2]"
August,Saturday,Shower,1,"(93713.2, 197153.0]"
August,Saturday,Washbasin,0,"(13440.2, 18289.4]"
August,Saturday,Washbasin,1,"(31333.0, 41667.2]"
August,Sunday,Bidet,0,"(66.999, 8348.4]"
August,Sunday,Bidet,1,"(18289.4, 24180.2]"
August,Sunday,Kitchenfaucet,0,"(66.999, 8348.4]"
August,Sunday,Kitchenfaucet,1,"(68376.4, 93713.2]"
August,Sunday,Shower,0,"(24180.2, 31333.0]"
August,Sunday,Shower,1,"(93713.2, 197153.0]"
August,Sunday,Washbasin,0,"(18289.4, 24180.2]"
August,Sunday,Washbasin,1,"(41667.2, 53747.8]"
August,Thursday,Bidet,0,"(8348.4, 13440.2]"
August,Thursday,Bidet,1,"(8348.4, 13440.2]"
August,Thursday,Kitchenfaucet,0,"(66.999, 8348.4]"
August,Thursday,Kitchenfaucet,1,"(53747.8, 68376.4]"
August,Thursday,Shower,0,"(41667.2, 53747.8]"
August,Thursday,Shower,1,"(93713.2, 197153.0]"
August,Thursday,Washbasin,0,"(66.999, 8348.4]"
August,Thursday,Washbasin,1,"(24180.2, 31333.0]"
August,Tuesday,Bidet,0,"(66.999, 8348.4]"
August,Tuesday,Bidet,1,"(8348.4, 13440.2]"
August,Tuesday,Kitchenfaucet,0,"(31333.0, 41667.2]"
August,Tuesday,Kitchenfaucet,1,"(53747.8, 68376.4]"
August,Tuesday,Shower,0,"(31333.0, 41667.2]"
August,Tuesday,Shower,1,"(53747.8, 68376.4]"
August,Tuesday,Washbasin,0,"(66.999, 8348.4]"
August,Tuesday,Washbasin,1,"(18289.4, 24180.2]"
August,Wednesday,Bidet,0,"(66.999, 8348.4]"
August,Wednesday,Bidet,1,"(8348.4, 13440.2]"
August,Wednesday,Kitchenfaucet,0,"(66.999, 8348.4]"
August,Wednesday,Kitchenfaucet,1,"(68376.4, 93713.2]"
August,Wednesday,Shower,0,"(66.999, 8348.4]"
August,Wednesday,Shower,1,"(68376.4, 93713.2]"
August,Wednesday,Washbasin,0,"(66.999, 8348.4]"
August,Wednesday,Washbasin,1,"(24180.2, 31333.0]"
July,Friday,Bidet,0,"(8348.4, 13440.2]"
July,Friday,Bidet,1,"(24180.2, 31333.0]"
July,Friday,Kitchenfaucet,0,"(13440.2, 18289.4]"
July,Friday,Kitchenfaucet,1,"(53747.8, 68376.4]"
July,Friday,Shower,0,"(31333.0, 41667.2]"
July,Friday,Shower,1,"(53747.8, 68376.4]"
July,Friday,Washbasin,0,"(24180.2, 31333.0]"
July,Friday,Washbasin,1,"(53747.8, 68376.4]"
July,Monday,Bidet,0,"(13440.2, 18289.4]"
July,Monday,Bidet,1,"(18289.4, 24180.2]"
July,Monday,Kitchenfaucet,0,"(8348.4, 13440.2]"
July,Monday,Kitchenfaucet,1,"(93713.2, 197153.0]"
July,Monday,Shower,0,"(93713.2, 197153.0]"
July,Monday,Shower,1,"(31333.0, 41667.2]"
July,Monday,Washbasin,0,"(24180.2, 31333.0]"
July,Monday,Washbasin,1,"(53747.8, 68376.4]"
July,Saturday,Bidet,0,"(18289.4, 24180.2]"
July,Saturday,Bidet,1,"(18289.4, 24180.2]"
July,Saturday,Kitchenfaucet,0,"(13440.2, 18289.4]"
July,Saturday,Kitchenfaucet,1,"(68376.4, 93713.2]"
July,Saturday,Shower,0,"(41667.2, 53747.8]"
July,Saturday,Shower,1,"(68376.4, 93713.2]"
July,Saturday,Washbasin,0,"(24180.2, 31333.0]"
July,Saturday,Washbasin,1,"(53747.8, 68376.4]"
July,Sunday,Bidet,0,"(18289.4, 24180.2]"
July,Sunday,Bidet,1,"(24180.2, 31333.0]"
July,Sunday,Kitchenfaucet,0,"(41667.2, 53747.8]"
July,Sunday,Kitchenfaucet,1,"(41667.2, 53747.8]"
July,Sunday,Shower,0,"(68376.4, 93713.2]"
July,Sunday,Shower,1,"(93713.2, 197153.0]"
July,Sunday,Washbasin,0,"(24180.2, 31333.0]"
July,Sunday,Washbasin,1,"(41667.2, 53747.8]"
July,Thursday,Bidet,0,"(8348.4, 13440.2]"
July,Thursday,Bidet,1,"(24180.2, 31333.0]"
July,Thursday,Kitchenfaucet,0,"(31333.0, 41667.2]"
July,Thursday,Kitchenfaucet,1,"(24180.2, 31333.0]"
July,Thursday,Shower,0,"(18289.4, 24180.2]"
July,Thursday,Shower,1,"(68376.4, 93713.2]"
July,Thursday,Washbasin,0,"(8348.4, 13440.2]"
July,Thursday,Washbasin,1,"(68376.4, 93713.2]"
July,Tuesday,Bidet,0,"(8348.4, 13440.2]"
July,Tuesday,Bidet,1,"(13440.2, 18289.4]"
July,Tuesday,Kitchenfaucet,0,"(31333.0, 41667.2]"
July,Tuesday,Kitchenfaucet,1,"(41667.2, 53747.8]"
July,Tuesday,Shower,0,"(93713.2, 197153.0]"
July,Tuesday,Shower,1,"(68376.4, 93713.2]"
July,Tuesday,Washbasin,0,"(31333.0, 41667.2]"
July,Tuesday,Washbasin,1,"(53747.8, 68376.4]"
July,Wednesday,Bidet,0,"(24180.2, 31333.0]"
July,Wednesday,Bidet,1,"(13440.2, 18289.4]"
July,Wednesday,Kitchenfaucet,0,"(53747.8, 68376.4]"
July,Wednesday,Kitchenfaucet,1,"(53747.8, 68376.4]"
July,Wednesday,Shower,0,"(93713.2, 197153.0]"
July,Wednesday,Shower,1,"(68376.4, 93713.2]"
July,Wednesday,Washbasin,0,"(24180.2, 31333.0]"
July,Wednesday,Washbasin,1,"(53747.8, 68376.4]"
October,Friday,Bidet,0,"(8348.4, 13440.2]"
October,Friday,Bidet,1,"(66.999, 8348.4]"
October,Friday,Kitchenfaucet,0,"(66.999, 8348.4]"
October,Friday,Kitchenfaucet,1,"(18289.4, 24180.2]"
October,Friday,Shower,0,"(68376.4, 93713.2]"
October,Friday,Shower,1,"(93713.2, 197153.0]"
October,Friday,Washbasin,0,"(31333.0, 41667.2]"
October,Friday,Washbasin,1,"(13440.2, 18289.4]"
October,Monday,Bidet,0,"(13440.2, 18289.4]"
October,Monday,Bidet,1,"(66.999, 8348.4]"
October,Monday,Kitchenfaucet,0,"(41667.2, 53747.8]"
October,Monday,Kitchenfaucet,1,"(8348.4, 13440.2]"
October,Monday,Shower,0,"(53747.8, 68376.4]"
October,Monday,Shower,1,"(53747.8, 68376.4]"
October,Monday,Washbasin,0,"(41667.2, 53747.8]"
October,Monday,Washbasin,1,"(13440.2, 18289.4]"
October,Saturday,Bidet,0,"(13440.2, 18289.4]"
October,Saturday,Bidet,1,"(66.999, 8348.4]"
October,Saturday,Kitchenfaucet,0,"(93713.2, 197153.0]"
October,Saturday,Kitchenfaucet,1,"(41667.2, 53747.8]"
October,Saturday,Shower,0,"(68376.4, 93713.2]"
October,Saturday,Shower,1,"(53747.8, 68376.4]"
October,Saturday,Washbasin,0,"(53747.8, 68376.4]"
October,Saturday,Washbasin,1,"(18289.4, 24180.2]"
October,Sunday,Bidet,0,"(13440.2, 18289.4]"
October,Sunday,Bidet,1,"(66.999, 8348.4]"
October,Sunday,Kitchenfaucet,0,"(31333.0, 41667.2]"
October,Sunday,Kitchenfaucet,1,"(41667.2, 53747.8]"
October,Sunday,Shower,0,"(93713.2, 197153.0]"
October,Sunday,Shower,1,"(93713.2, 197153.0]"
October,Sunday,Washbasin,0,"(53747.8, 68376.4]"
October,Sunday,Washbasin,1,"(13440.2, 18289.4]"
October,Thursday,Bidet,0,"(18289.4, 24180.2]"
October,Thursday,Bidet,1,"(13440.2, 18289.4]"
October,Thursday,Kitchenfaucet,0,"(8348.4, 13440.2]"
October,Thursday,Kitchenfaucet,1,"(68376.4, 93713.2]"
October,Thursday,Shower,0,"(93713.2, 197153.0]"
October,Thursday,Shower,1,"(93713.2, 197153.0]"
October,Thursday,Washbasin,0,"(31333.0, 41667.2]"
October,Thursday,Washbasin,1,"(31333.0, 41667.2]"
October,Tuesday,Bidet,0,"(41667.2, 53747.8]"
October,Tuesday,Bidet,1,"(66.999, 8348.4]"
October,Tuesday,Kitchenfaucet,0,"(41667.2, 53747.8]"
October,Tuesday,Kitchenfaucet,1,"(31333.0, 41667.2]"
October,Tuesday,Shower,0,"(93713.2, 197153.0]"
October,Tuesday,Shower,1,"(68376.4, 93713.2]"
October,Tuesday,Washbasin,0,"(41667.2, 53747.8]"
October,Tuesday,Washbasin,1,"(24180.2, 31333.0]"
October,Wednesday,Bidet,0,"(13440.2, 18289.4]"
October,Wednesday,Bidet,1,"(66.999, 8348.4]"
October,Wednesday,Kitchenfaucet,0,"(66.999, 8348.4]"
October,Wednesday,Kitchenfaucet,1,"(18289.4, 24180.2]"
October,Wednesday,Shower,0,"(41667.2, 53747.8]"
October,Wednesday,Shower,1,"(93713.2, 197153.0]"
October,Wednesday,Washbasin,0,"(18289.4, 24180.2]"
October,Wednesday,Washbasin,1,"(24180.2, 31333.0]"
September,Friday,Bidet,0,"(8348.4, 13440.2]"
September,Friday,Bidet,1,"(18289.4, 24180.2]"
September,Friday,Kitchenfaucet,0,"(8348.4, 13440.2]"
September,Friday,Kitchenfaucet,1,"(41667.2, 53747.8]"
September,Friday,Shower,0,"(24180.2, 31333.0]"
September,Friday,Shower,1,"(93713.2, 197153.0]"
September,Friday,Washbasin,0,"(24180.2, 31333.0]"
September,Friday,Washbasin,1,"(24180.2, 31333.0]"
September,Monday,Bidet,0,"(13440.2, 18289.4]"
September,Monday,Bidet,1,"(66.999, 8348.4]"
September,Monday,Kitchenfaucet,0,"(31333.0, 41667.2]"
September,Monday,Kitchenfaucet,1,"(31333.0, 41667.2]"
September,Monday,Shower,0,"(68376.4, 93713.2]"
September,Monday,Shower,1,"(53747.8, 68376.4]"
September,Monday,Washbasin,0,"(41667.2, 53747.8]"
September,Monday,Washbasin,1,"(13440.2, 18289.4]"
September,Saturday,Bidet,0,"(18289.4, 24180.2]"
September,Saturday,Bidet,1,"(13440.2, 18289.4]"
September,Saturday,Kitchenfaucet,0,"(41667.2, 53747.8]"
September,Saturday,Kitchenfaucet,1,"(93713.2, 197153.0]"
September,Saturday,Shower,0,"(53747.8, 68376.4]"
September,Saturday,Shower,1,"(93713.2, 197153.0]"
September,Saturday,Washbasin,0,"(31333.0, 41667.2]"
September,Saturday,Washbasin,1,"(53747.8, 68376.4]"
September,Sunday,Bidet,0,"(13440.2, 18289.4]"
September,Sunday,Bidet,1,"(8348.4, 13440.2]"
September,Sunday,Kitchenfaucet,0,"(18289.4, 24180.2]"
September,Sunday,Kitchenfaucet,1,"(68376.4, 93713.2]"
September,Sunday,Shower,0,"(68376.4, 93713.2]"
September,Sunday,Shower,1,"(68376.4, 93713.2]"
September,Sunday,Washbasin,0,"(18289.4, 24180.2]"
September,Sunday,Washbasin,1,"(31333.0, 41667.2]"
September,Thursday,Bidet,0,"(66.999, 8348.4]"
September,Thursday,Bidet,1,"(8348.4, 13440.2]"
September,Thursday,Kitchenfaucet,0,"(31333.0, 41667.2]"
September,Thursday,Kitchenfaucet,1,"(68376.4, 93713.2]"
September,Thursday,Shower,0,"(41667.2, 53747.8]"
September,Thursday,Shower,1,"(93713.2, 197153.0]"
September,Thursday,Washbasin,0,"(18289.4, 24180.2]"
September,Thursday,Washbasin,1,"(31333.0, 41667.2]"
September,Tuesday,Bidet,0,"(13440.2, 18289.4]"
September,Tuesday,Bidet,1,"(13440.2, 18289.4]"
September,Tuesday,Kitchenfaucet,0,"(8348.4, 13440.2]"
September,Tuesday,Kitchenfaucet,1,"(93713.2, 197153.0]"
September,Tuesday,Shower,0,"(68376.4, 93713.2]"
September,Tuesday,Shower,1,"(93713.2, 197153.0]"
September,Tuesday,Washbasin,0,"(31333.0, 41667.2]"
September,Tuesday,Washbasin,1,"(31333.0, 41667.2]"
September,Wednesday,Bidet,0,"(8348.4, 13440.2]"
September,Wednesday,Bidet,1,"(13440.2, 18289.4]"
September,Wednesday,Kitchenfaucet,0,"(24180.2, 31333.0]"
September,Wednesday,Kitchenfaucet,1,"(41667.2, 53747.8]"
September,Wednesday,Shower,0,"(68376.4, 93713.2]"
September,Wednesday,Shower,1,"(93713.2, 197153.0]"
September,Wednesday,Washbasin,0,"(24180.2, 31333.0]"
September,Wednesday,Washbasin,1,"(41667.2, 53747.8]"
